RC205-D4

VEHICLE
NUMBER     CAPACITY
  25         1000

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME

    0          40      50           0       0         960           0
    1          25      85          50     431         911          10
    2          22      75          30      30         510          10
    3          22      85          40     291         771          10
    4          20      80          50     674         734          10
    5          20      85          40      40         520          10
    6          18      75          40     393         502          10
    7          15      75          50     120         600          10
    8          15      80          50     397         457          10
    9          10      35          30     401         461          10
   10          10      40          50     535         622          10
   11           8      40          40     225         285          10
   12           8      45          30      43         523          10
   13           5      35          50     683         743          10
   14           5      45          50      35         366          10
   15           2      40          50     204         264          10
   16           0      40          40     204         425          10
   17           0      45          50     698         827          10
   18          44       5          30     306         483          10
   19          42      10          40     199         428          10
   20          42      15          50     494         699          10
   21          40       5          50      45         525          10
   22          40      15          40     383         486          10
   23          38       5          50     231         291          10
   24          38      15          40     609         872          10
   25          35       5          50     821         881          10
   26          95      30          40     349         829          10
   27          95      35          30     138         273          10
   28          92      30          50      78         339          10
   29          90      35          40     132         375          10
   30          88      30          30     252         359          10
   31          88      35          40      50         530          10
   32          87      30          50     562         799          10
   33          85      25          50      71         208          10
   34          85      35          30     307         787          10
   35          67      85          30     655         778          10
   36          65      85          30      43         186          10
   37          65      82          40     377         857          10
   38          62      80          40     308         368          10
   39          60      80          40      46         201          10
   40          60      85          40     339         438          10
   41          58      75          30     377         494          10
   42          55      80          40      33         166          10
   43          55      85          30     531         736          10
   44          55      82          40     247         307          10
   45          20      82          30      37         177          10
   46          18      80          40     432         665          10
   47           2      45          50      38         322          10
   48          42       5          30     424         904          10
   49          42      12          30     460         539          10
   50          72      35          40     327         807          10
   51          55      20          30     273         498          10
   52          25      30          32      25         505          10
   53          20      50          39     405         465          10
   54          55      60          36     554         767          10
   55          30      60          43     629         689          10
   56          50      35          31     560         673          10
   57          30      25          49     342         571          10
   58          15      10          35     842         902          10
   59          10      20          35      42         522          10
   60          15      60          39     623         884          10
   61          45      65          31     214         421          10
   62          65      35          41     197         257          10
   63          65      20          41      39         316          10
   64          45      30          36     191         310          10
   65          35      40          42      11         140          10
   66          41      37          35     570         681          10
   67          64      42          44     298         358          10
   68          40      60          46     613         730          10
   69          31      52          42     187         247          10
   70          35      69          33     780         930          10
   71          65      55          40     191         410          10
   72          63      65          48      27         507          10
   73           2      60          47     240         451          10
   74          20      20          46     675         735          10
   75           5       5          34      57         537          10
   76          60      12          35     298         358          10
   77          23       3          39     794         854          10
   78           8      56          45     366         483          10
   79           6      68          35     382         442          10
   80          47      47          49     817         942          10
   81          49      58          33     332         497          10
   82          27      43          32      14         494          10
   83          37      31          49      19         499          10
   84          57      29          50     425         485          10
   85          63      23          44     164         644          10
   86          21      24          50     310         507          10
   87          12      24          49     389         449          10
   88          24      58          43     262         377          10
   89          67       5          49     611         897          10
   90          37      47          45     311         526          10
   91          49      42          30     457         937          10
   92          53      43          46      14          74          10
   93          61      52          45     789         928          10
   94          57      48          46     212         692          10
   95          56      37          49      20         500          10
   96          55      54          49     382         862          10
   97           4      18          42     516         697          10
   98          26      52          35      14         494          10
   99          26      35          34     338         398          10
  100          31      67          42     870         930          10
