RC205-D2

VEHICLE
NUMBER     CAPACITY
  25         1000

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME

    0          40      50           0       0         960           0
    1          25      85          10     431         911          10
    2          22      75          40      30         510          10
    3          22      85          10     291         771          10
    4          20      80          10     674         734          10
    5          20      85          20      40         520          10
    6          18      75          10     393         502          10
    7          15      75          30     120         600          10
    8          15      80          50     397         457          10
    9          10      35          40     401         461          10
   10          10      40          10     535         622          10
   11           8      40          10     225         285          10
   12           8      45          50      43         523          10
   13           5      35          30     683         743          10
   14           5      45          20      35         366          10
   15           2      40          40     204         264          10
   16           0      40          30     204         425          10
   17           0      45          30     698         827          10
   18          44       5          40     306         483          10
   19          42      10          40     199         428          10
   20          42      15          30     494         699          10
   21          40       5          40      45         525          10
   22          40      15          20     383         486          10
   23          38       5          10     231         291          10
   24          38      15          40     609         872          10
   25          35       5          10     821         881          10
   26          95      30          50     349         829          10
   27          95      35          10     138         273          10
   28          92      30          20      78         339          10
   29          90      35          10     132         375          10
   30          88      30          40     252         359          10
   31          88      35          40      50         530          10
   32          87      30          40     562         799          10
   33          85      25          50      71         208          10
   34          85      35          20     307         787          10
   35          67      85          40     655         778          10
   36          65      85          20      43         186          10
   37          65      82          10     377         857          10
   38          62      80          30     308         368          10
   39          60      80          10      46         201          10
   40          60      85          20     339         438          10
   41          58      75          20     377         494          10
   42          55      80          40      33         166          10
   43          55      85          50     531         736          10
   44          55      82          30     247         307          10
   45          20      82          20      37         177          10
   46          18      80          40     432         665          10
   47           2      45          40      38         322          10
   48          42       5          20     424         904          10
   49          42      12          30     460         539          10
   50          72      35          10     327         807          10
   51          55      20          18     273         498          10
   52          25      30          16      25         505          10
   53          20      50          13     405         465          10
   54          55      60          28     554         767          10
   55          30      60          21     629         689          10
   56          50      35          10     560         673          10
   57          30      25          43     342         571          10
   58          15      10          48     842         902          10
   59          10      20          18      42         522          10
   60          15      60          25     623         884          10
   61          45      65          15     214         421          10
   62          65      35          16     197         257          10
   63          65      20          43      39         316          10
   64          45      30          16     191         310          10
   65          35      40          46      11         140          10
   66          41      37          19     570         681          10
   67          64      42          13     298         358          10
   68          40      60          13     613         730          10
   69          31      52          13     187         247          10
   70          35      69          20     780         930          10
   71          65      55          34     191         410          10
   72          63      65          15      27         507          10
   73           2      60          14     240         451          10
   74          20      20          40     675         735          10
   75           5       5          21      57         537          10
   76          60      12          18     298         358          10
   77          23       3          37     794         854          10
   78           8      56          24     366         483          10
   79           6      68          18     382         442          10
   80          47      47          35     817         942          10
   81          49      58          13     332         497          10
   82          27      43          19      14         494          10
   83          37      31          42      19         499          10
   84          57      29          35     425         485          10
   85          63      23          27     164         644          10
   86          21      24          31     310         507          10
   87          12      24          39     389         449          10
   88          24      58          28     262         377          10
   89          67       5          37     611         897          10
   90          37      47          12     311         526          10
   91          49      42          33     457         937          10
   92          53      43          36      14          74          10
   93          61      52          23     789         928          10
   94          57      48          48     212         692          10
   95          56      37          41      20         500          10
   96          55      54          36     382         862          10
   97           4      18          34     516         697          10
   98          26      52          46      14         494          10
   99          26      35          19     338         398          10
  100          31      67          24     870         930          10
