RC107-D1

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0          40      50           0       0         240           0
    1          25      85          40     125         191          10
    2          22      75          40      32          97          10
    3          22      85          50     101         146          10
    4          20      80          30      71         193          10
    5          20      85          60      40         113          10
    6          18      75          60      55         164          10
    7          15      75          50      69         118          10
    8          15      80          20      56         155          10
    9          10      35          40      51         160          10
   10          10      40          50      90         177          10
   11           8      40          30      33         152          10
   12           8      45          40      49         108          10
   13           5      35          50      62         191          10
   14           5      45          30      35         117          10
   15           2      40          60      39         161          10
   16           0      40          20      59         114          10
   17           0      45          20      60         189          10
   18          44       5          10      79         124          10
   19          42      10          50      58         115          10
   20          42      15          30     111         162          10
   21          40       5          20      52         111          10
   22          40      15          20      55         158          10
   23          38       5          40      45         164          10
   24          38      15          50     128         194          10
   25          35       5          40      54         184          10
   26          95      30          20     105         154          10
   27          95      35          70      57         172          10
   28          92      30          50      55         120          10
   29          90      35          50      52         112          10
   30          88      30          10      52         159          10
   31          88      35          40      50         110          10
   32          87      30          20     116         175          10
   33          85      25          10      51         178          10
   34          85      35          70     100         151          10
   35          67      85          60      61         185          10
   36          65      85          30      43         186          10
   37          65      82          10     113         164          10
   38          62      80          20      37         148          10
   39          60      80          20      36         191          10
   40          60      85          60      50         149          10
   41          58      75          50      48         165          10
   42          55      80          40      33         166          10
   43          55      85          40     117         168          10
   44          55      82          70      35         148          10
   45          20      82          50      37         177          10
   46          18      80          70      98         157          10
   47           2      45          10      38         109          10
   48          42       5          50     120         184          10
   49          42      12          40      79         158          10
   50          72      35          10     104         157          10
   51          55      20          24      69         126          10
   52          25      30          28      36          97          10
   53          20      50          24      57         154          10
   54          55      60          51     127         180          10
   55          30      60          14      95         214          10
   56          50      35          33      88         201          10
   57          30      25          69      82         139          10
   58          15      10          43      56         182          10
   59          10      20          33      42         125          10
   60          15      60          41     137         202          10
   61          45      65          64      55         106          10
   62          65      35          49      29         158          10
   63          65      20          21      39         108          10
   64          45      30          16      20         139          10
   65          35      40          65      11         140          10
   66          41      37          54      92         203          10
   67          64      42          25      28         141          10
   68          40      60          20     100         217          10
   69          31      52          17       9         134          10
   70          35      69          63      60         210          10
   71          65      55          65      52         107          10
   72          63      65          38      27         101          10
   73           2      60          10      65         118          10
   74          20      20          13      72         193          10
   75           5       5          22      60         117          10
   76          60      12          24      42         143          10
   77          23       3          66      52         180          10
   78           8      56          54      46         163          10
   79           6      68          34      54         153          10
   80          47      47          68      97         222          10
   81          49      58          27      80         121          10
   82          27      43          28      26          87          10
   83          37      31          45      19          87          10
   84          57      29          64      62         159          10
   85          63      23          37      76         127          10
   86          21      24          10      77         126          10
   87          12      24          68      68         141          10
   88          24      58          22      24         139          10
   89          67       5          65     105         177          10
   90          37      47          37      74         127          10
   91          49      42          13     151         212          10
   92          53      43          26      14         155          10
   93          61      52          62      69         208          10
   94          57      48          12      86         133          10
   95          56      37          17      20          84          10
   96          55      54          65     121         172          10
   97           4      18          67     112         157          10
   98          26      52          34      30          91          10
   99          26      35          43      37         146          10
  100          31      67          23      66         210          10
