C207-D2

VEHICLE
NUMBER     CAPACITY
  25         700

CUSTOMER
CUST NO.  XCOORD.    YCOORD.     DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0          40      50           0       0        3390           0
    1          52      75          50     302         479          90
    2          45      70          20     157         428          90
    3          62      69          20    1138        1355          90
    4          60      66          20    1247        1434          90
    5          42      65          10      15         208          90
    6          16      42          40     209         944          90
    7          58      70          20    1059        1246          90
    8          34      60          20    2035        3288          90
    9          28      70          30    2090        3271          90
   10          35      66          20    2311        3283          90
   11          35      69          50    2428        3127          90
   12          25      85          20    1772        2625          90
   13          22      75          40    2135        2834          90
   14          22      85          40    1586        2625          90
   15          20      80          20    1858        2733          90
   16          20      85          30    1512        2515          90
   17          18      75          20    1895        2886          90
   18          15      75          30    1299        2344          90
   19          15      80          50    1461        2372          90
   20          30      50          50      10         963          90
   21          30      56          10    2062        3288          90
   22          28      52          30      12         752          90
   23          14      66          50    1316        2129          90
   24          25      50          40      15         532          90
   25          22      66          20    2177        2990          90
   26           8      62          20    1036        2213          90
   27          23      52          50      17         602          90
   28           4      55          10    1010        2043          90
   29          20      50          40      20         948          90
   30          20      55          10      63         702          90
   31          10      35          30     309        1412          90
   32          10      40          10     336        1009          90
   33           8      40          20     234        1295          90
   34           8      45          30     954        1897          90
   35           5      35          10     377        1534          90
   36           5      45          30     819        1846          90
   37           2      40          40     494        1607          90
   38           0      40          50     637        1648          90
   39           0      45          10     834        1641          90
   40          36      18          30    1468        2329          90
   41          35      32          10    2480        3195          90
   42          33      32          10    2421        3070          90
   43          33      35          10    2368        2937          90
   44          32      20          50    1621        2364          90
   45          30      30          30    1805        2564          90
   46          34      25          10    1782        2395          90
   47          30      35          40    2242        2877          90
   48          36      40          10    2605        3266          90
   49          48      20          50     812        1281          90
   50          26      32          30    1842        2901          90
   51          25      30          50    1883        2676          90
   52          25      35          50    2070        2859          90
   53          44       5          20    1078        1593          90
   54          42      10          10     998        1481          90
   55          42      15          40     897        1392          90
   56          40       5          50    1083        1776          90
   57          38      15          40    1426        2183          90
   58          38       5          50    1133        1910          90
   59          38      10          20    1392        2027          90
   60          35       5          10    1180        2049          90
   61          50      30          20     223         738          90
   62          50      35          10      18         474          90
   63          50      40          50      14         360          90
   64          48      30          30     246         899          90
   65          44      25          40     704        1197          90
   66          47      35          40     393         942          90
   67          47      40          50      12         424          90
   68          42      30          50     641        1070          90
   69          45      35          20     534         985          90
   70          95      30          10    2119        2682          90
   71          95      35          10    2192        2419          90
   72          53      30          20     131         644          90
   73          92      30          30    2169        2818          90
   74          53      35          40      87         498          90
   75          45      65          10      49         346          90
   76          90      35          20    2106        2315          90
   77          72      45          40    2701        3258          90
   78          78      40          30    2599        3164          90
   79          87      30          40    2505        2870          90
   80          85      25          20    2369        2816          90
   81          85      35          50    2563        3002          90
   82          75      55          10    1894        2115          90
   83          72      55          40    1751        2072          90
   84          70      58          20    1617        1824          90
   85          86      46          40    1969        2248          90
   86          66      55          40    1710        1921          90
   87          64      46          40    2976        3275          90
   88          65      60          40    1482        1769          90
   89          56      64          10    1275        1594          90
   90          60      55          10    2789        3279          90
   91          60      60          40    1440        1621          90
   92          67      85          30     646         901          90
   93          42      58          10       8         258          90
   94          65      82          10     708        1027          90
   95          62      80          30     852        1069          90
   96          62      40          30    2713        3275          90
   97          60      85          10     537         816          90
   98          58      75          50     948        1167          90
   99          55      80          20     379         594          90
  100          55      85          10     477         686          90
