C108-D3

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0          40      50           0       0        1236           0
    1          45      68          30     830        1049          90
    2          45      70          70     756         939          90
    3          42      66          70      16         336          90
    4          42      68          40     643         866          90
    5          42      65          50      15         226          90
    6          40      69          50     499         824          90
    7          40      66          30      87         308          90
    8          38      68          70     150         429          90
    9          38      70          70     429         710          90
   10          35      66          40     279         488          90
   11          35      69          40     363         590          90
   12          25      85          50     547         826          90
   13          22      75          30      30         280          90
   14          22      85          30     489         698          90
   15          20      80          30     318         495          90
   16          20      85          60     394         609          90
   17          18      75          50      33         226          90
   18          15      75          30      68         365          90
   19          15      80          50     176         447          90
   20          30      50          70      10         265          90
   21          30      52          60     836        1043          90
   22          28      52          60     704         991          90
   23          28      55          30     664         845          90
   24          25      50          70      15         333          90
   25          25      52          70      88         305          90
   26          25      55          50     502         821          90
   27          23      52          60     179         398          90
   28          23      55          70     476         663          90
   29          20      50          50     288         475          90
   30          20      55          60     368         585          90
   31          10      35          60     144         293          90
   32          10      40          50      31         309          90
   33           8      40          60      33         313          90
   34           8      45          50     655         912          90
   35           5      35          50     191         436          90
   36           5      45          70     588         793          90
   37           2      40          50     305         512          90
   38           0      40          40     414         587          90
   39           0      45          50     481         710          90
   40          35      30          30     180         405          90
   41          35      32          60      63         338          90
   42          33      32          60      19         345          90
   43          33      35          60      16         273          90
   44          32      30          40     278         493          90
   45          30      30          70     453         688          90
   46          30      32          30     355         602          90
   47          30      35          30     837        1127          90
   48          28      30          30     539         786          90
   49          28      35          40     867        1126          90
   50          26      32          70     719         976          90
   51          25      30          40     635         876          90
   52          25      35          60     825        1056          90
   53          44       5          60     193         440          90
   54          42      10          50      78         365          90
   55          42      15          70      35         287          90
   56          40       5          50     308         513          90
   57          40      15          70      35         246          90
   58          38       5          50     376         629          90
   59          38      15          30     519         872          90
   60          35       5          30     463         728          90
   61          50      30          70     412         729          90
   62          50      35          50     181         398          90
   63          50      40          50     100         289          90
   64          48      30          40     539         786          90
   65          48      40          70      12         223          90
   66          47      35          40     753         948          90
   67          47      40          70      12         275          90
   68          45      30          40     669         842          90
   69          45      35          50     836        1049          90
   70          95      30          70     284         559          90
   71          95      35          60     194         459          90
   72          53      30          50     367         588          90
   73          92      30          30     370         659          90
   74          53      35          40     263         502          90
   75          45      65          60     847        1130          90
   76          90      35          30     119         344          90
   77          88      30          60     469         748          90
   78          88      35          40      50         295          90
   79          87      30          50     573         826          90
   80          85      25          40     694         895          90
   81          85      35          40      47         356          90
   82          75      55          50     293         496          90
   83          72      55          30     154         449          90
   84          70      58          40     360         621          90
   85          68      60          70     470         697          90
   86          66      55          40      76         335          90
   87          65      55          40      25         260          90
   88          65      60          30     551         802          90
   89          63      58          50     640         899          90
   90          60      55          30      20         276          90
   91          60      60          70     756         969          90
   92          67      85          60     257         552          90
   93          65      85          30     409         584          90
   94          65      82          50     209         412          90
   95          62      80          40     130         305          90
   96          60      80          70      36         283          90
   97          60      85          30     470         713          90
   98          58      75          40      30         248          90
   99          55      80          60     628         935          90
  100          55      85          50     530         843          90
